 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Total elastic cross section = 1.10035E-20 cm**2 = 3.92943E-04 a0**2
 # 1st transport cross section = 9.95317E-26 cm**2 = 3.55434E-09 a0**2
 # 2nd transport cross section = 2.87000E-25 cm**2 = 1.02489E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  9.250E-02  6.51596E-07  3.44888E-16  1.23162E+01  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  3.22868E-16  1.15298E+01  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  3.02098E-16  1.07881E+01  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  2.83072E-16  1.01087E+01  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  1.49719E-16  5.34655E+00  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  8.23351E-17  2.94024E+00  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  4.70027E-17  1.67850E+00  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  2.85963E-17  1.02119E+00  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  1.83211E-17  6.54258E-01  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  1.22479E-17  4.37380E-01  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  8.48326E-18  3.02943E-01  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  6.05419E-18  2.16199E-01  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  4.43244E-18  1.58285E-01  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  3.31741E-18  1.18467E-01  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  2.53099E-18  9.03832E-02  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  1.96380E-18  7.01287E-02  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  1.54661E-18  5.52304E-02  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  1.23432E-18  4.40783E-02  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  9.96874E-19  3.55990E-02  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  8.13781E-19  2.90606E-02  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  6.70793E-19  2.39545E-02  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  5.57831E-19  1.99205E-02  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  4.67647E-19  1.67000E-02  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  3.94951E-19  1.41039E-02  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  3.35832E-19  1.19928E-02  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  2.87360E-19  1.02618E-02  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  2.47318E-19  8.83189E-03  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  2.14008E-19  7.64235E-03  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  1.86116E-19  6.64634E-03  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  1.62621E-19  5.80730E-03  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  1.42716E-19  5.09648E-03  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  1.25763E-19  4.49109E-03  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  1.11253E-19  3.97292E-03  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  9.87751E-20  3.52732E-03  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  8.79975E-20  3.14245E-03  0.00000E+00  1.0E-05
  9.000E-01  6.16838E-05  7.86498E-20  2.80863E-03  0.00000E+00  1.0E-05
  9.250E-01  6.51582E-05  7.05103E-20  2.51797E-03  0.00000E+00  1.0E-05
  9.500E-01  6.87277E-05  6.33966E-20  2.26393E-03  0.00000E+00  1.0E-05
  9.750E-01  7.23925E-05  5.71573E-20  2.04112E-03  0.00000E+00  1.0E-05
  1.000E+00  7.61524E-05  5.16667E-20  1.84505E-03  0.00000E+00  1.0E-05
  1.100E+00  9.21439E-05  3.53221E-20  1.26138E-03  0.00000E+00  1.0E-05
  1.200E+00  1.09658E-04  2.49577E-20  8.91256E-04  0.00000E+00  1.0E-05
  1.300E+00  1.28695E-04  1.81280E-20  6.47363E-04  0.00000E+00  3.3E-04
  1.400E+00  1.49255E-04  1.34854E-20  4.81572E-04  0.00000E+00  1.0E-05
  1.500E+00  1.71338E-04  1.02371E-20  3.65572E-04  0.00000E+00  1.0E-05
  1.600E+00  1.94942E-04  7.91039E-21  2.82485E-04  0.00000E+00  1.0E-05
  1.700E+00  2.20070E-04  6.20867E-21  2.21716E-04  0.00000E+00  1.0E-05
  1.800E+00  2.46720E-04  4.93970E-21  1.76400E-04  0.00000E+00  7.3E-04
  1.900E+00  2.74892E-04  3.97968E-21  1.42117E-04  0.00000E+00  4.9E-05
  2.000E+00  3.04586E-04  3.24197E-21  1.15773E-04  0.00000E+00  5.1E-04
  2.100E+00  3.35803E-04  2.66754E-21  9.52595E-05  0.00000E+00  7.9E-04
  2.200E+00  3.68542E-04  2.21484E-21  7.90934E-05  0.00000E+00  8.1E-04
  2.300E+00  4.02802E-04  1.85426E-21  6.62167E-05  0.00000E+00  6.2E-04
  2.400E+00  4.38585E-04  1.56412E-21  5.58558E-05  0.00000E+00  3.2E-04
  2.500E+00  4.75889E-04  1.32859E-21  4.74449E-05  0.00000E+00  3.7E-05
  2.600E+00  5.14715E-04  1.13576E-21  4.05589E-05  0.00000E+00  3.0E-04
  2.700E+00  5.55063E-04  9.76681E-22  3.48779E-05  0.00000E+00  4.4E-04
  2.800E+00  5.96931E-04  8.44504E-22  3.01578E-05  0.00000E+00  4.4E-04
  2.900E+00  6.40321E-04  7.33941E-22  2.62095E-05  0.00000E+00  3.3E-04
  3.000E+00  6.85233E-04  6.40899E-22  2.28869E-05  0.00000E+00  1.6E-04
  3.100E+00  7.31665E-04  5.62140E-22  2.00744E-05  0.00000E+00  4.8E-05
  3.200E+00  7.79618E-04  4.95117E-22  1.76809E-05  0.00000E+00  2.0E-04
  3.300E+00  8.29092E-04  4.37791E-22  1.56338E-05  0.00000E+00  2.7E-04
  3.400E+00  8.80086E-04  3.88525E-22  1.38745E-05  0.00000E+00  2.7E-04
