 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Total elastic cross section = 1.98982E-18 cm**2 = 7.10577E-02 a0**2
 # 1st transport cross section = 5.85045E-23 cm**2 = 2.08923E-06 a0**2
 # 2nd transport cross section = 1.65644E-22 cm**2 = 5.91526E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  2.700E+00  5.55063E-04  6.38287E-19  2.27936E-02  0.00000E+00  1.8E-07
  2.800E+00  5.96931E-04  5.53764E-19  1.97753E-02  0.00000E+00  2.2E-07
  2.900E+00  6.40321E-04  4.82814E-19  1.72416E-02  0.00000E+00  2.1E-07
  3.000E+00  6.85233E-04  4.22868E-19  1.51009E-02  0.00000E+00  1.6E-07
  3.100E+00  7.31665E-04  3.71949E-19  1.32825E-02  0.00000E+00  1.0E-07
  3.200E+00  7.79618E-04  3.28481E-19  1.17303E-02  0.00000E+00  1.0E-07
  3.300E+00  8.29092E-04  2.91190E-19  1.03986E-02  0.00000E+00  1.1E-07
  3.400E+00  8.80086E-04  2.59042E-19  9.25055E-03  0.00000E+00  1.4E-07
  3.500E+00  9.32601E-04  2.31205E-19  8.25650E-03  0.00000E+00  1.4E-07
  3.600E+00  9.86636E-04  2.07014E-19  7.39259E-03  0.00000E+00  1.1E-07
  3.700E+00  1.04219E-03  1.85908E-19  6.63888E-03  0.00000E+00  1.0E-07
  3.800E+00  1.09927E-03  1.67423E-19  5.97879E-03  0.00000E+00  1.0E-07
  3.900E+00  1.15786E-03  1.51176E-19  5.39859E-03  0.00000E+00  1.0E-07
  4.000E+00  1.21797E-03  1.36854E-19  4.88715E-03  0.00000E+00  1.0E-07
  4.100E+00  1.27961E-03  1.24190E-19  4.43490E-03  0.00000E+00  1.0E-07
  4.200E+00  1.34276E-03  1.12958E-19  4.03379E-03  0.00000E+00  1.0E-07
  4.300E+00  1.40743E-03  1.02964E-19  3.67691E-03  0.00000E+00  1.0E-07
  4.400E+00  1.47362E-03  9.40524E-20  3.35867E-03  0.00000E+00  1.0E-07
  4.500E+00  1.54133E-03  8.60851E-20  3.07415E-03  0.00000E+00  1.0E-07
  4.600E+00  1.61056E-03  7.89443E-20  2.81915E-03  0.00000E+00  1.0E-07
  4.700E+00  1.68131E-03  7.25276E-20  2.59001E-03  0.00000E+00  1.0E-07
  4.800E+00  1.75357E-03  6.67500E-20  2.38369E-03  0.00000E+00  1.0E-07
  4.900E+00  1.82735E-03  6.15370E-20  2.19752E-03  0.00000E+00  1.0E-07
  5.000E+00  1.90265E-03  5.68234E-20  2.02920E-03  0.00000E+00  1.0E-07
  5.100E+00  1.97947E-03  5.25523E-20  1.87668E-03  0.00000E+00  1.0E-07
  5.200E+00  2.05780E-03  4.86752E-20  1.73822E-03  0.00000E+00  1.0E-07
  5.300E+00  2.13765E-03  4.51495E-20  1.61232E-03  0.00000E+00  1.0E-07
  5.400E+00  2.21902E-03  4.19376E-20  1.49762E-03  0.00000E+00  1.0E-07
  5.500E+00  2.30190E-03  3.90064E-20  1.39294E-03  0.00000E+00  1.0E-07
  5.600E+00  2.38630E-03  3.63269E-20  1.29726E-03  0.00000E+00  1.0E-07
  5.700E+00  2.47222E-03  3.38738E-20  1.20966E-03  0.00000E+00  1.0E-07
  5.800E+00  2.55965E-03  3.16247E-20  1.12934E-03  0.00000E+00  1.0E-07
  5.900E+00  2.64859E-03  2.95593E-20  1.05558E-03  0.00000E+00  1.0E-07
  6.000E+00  2.73905E-03  2.76598E-20  9.87750E-04  0.00000E+00  1.0E-07
  6.100E+00  2.83103E-03  2.59108E-20  9.25290E-04  0.00000E+00  1.0E-07
  6.200E+00  2.92452E-03  2.42980E-20  8.67697E-04  0.00000E+00  1.0E-07
  6.300E+00  3.01952E-03  2.28090E-20  8.14523E-04  0.00000E+00  1.0E-07
  6.400E+00  3.11604E-03  2.14323E-20  7.65362E-04  0.00000E+00  1.0E-07
  6.500E+00  3.21407E-03  2.01582E-20  7.19861E-04  0.00000E+00  1.0E-07
  6.600E+00  3.31362E-03  1.89775E-20  6.77698E-04  0.00000E+00  1.0E-07
