 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: He,  Z =   2,  atomic weight = 4.00260E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.69889E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  2
 #
 # Total elastic cross section = 1.66994E-20 cm**2 = 5.96348E-04 a0**2
 # 1st transport cross section = 3.70057E-25 cm**2 = 1.32150E-08 a0**2
 # 2nd transport cross section = 1.06344E-24 cm**2 = 3.79763E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  2.000E+00  3.04586E-04  1.29740E-20  4.63310E-04  0.00000E+00  8.6E-05
  2.100E+00  3.35803E-04  1.06727E-20  3.81130E-04  0.00000E+00  1.7E-04
  2.200E+00  3.68542E-04  8.86493E-21  3.16573E-04  0.00000E+00  2.0E-04
  2.300E+00  4.02802E-04  7.41909E-21  2.64941E-04  0.00000E+00  1.7E-04
  2.400E+00  4.38585E-04  6.26009E-21  2.23552E-04  0.00000E+00  1.0E-04
  2.500E+00  4.75889E-04  5.31682E-21  1.89867E-04  0.00000E+00  2.7E-05
  2.600E+00  5.14715E-04  4.54516E-21  1.62311E-04  0.00000E+00  4.8E-05
  2.700E+00  5.55063E-04  3.90914E-21  1.39598E-04  0.00000E+00  9.3E-05
  2.800E+00  5.96931E-04  3.37949E-21  1.20684E-04  0.00000E+00  1.1E-04
  2.900E+00  6.40321E-04  2.93770E-21  1.04907E-04  0.00000E+00  9.4E-05
  3.000E+00  6.85233E-04  2.56494E-21  9.15957E-05  0.00000E+00  5.9E-05
  3.100E+00  7.31665E-04  2.24995E-21  8.03472E-05  0.00000E+00  1.5E-05
  3.200E+00  7.79618E-04  1.98175E-21  7.07697E-05  0.00000E+00  3.0E-05
  3.300E+00  8.29092E-04  1.75219E-21  6.25718E-05  0.00000E+00  5.8E-05
  3.400E+00  8.80086E-04  1.55523E-21  5.55383E-05  0.00000E+00  6.6E-05
  3.500E+00  9.32601E-04  1.38486E-21  4.94541E-05  0.00000E+00  5.8E-05
  3.600E+00  9.86636E-04  1.23745E-21  4.41900E-05  0.00000E+00  3.7E-05
  3.700E+00  1.04219E-03  1.10899E-21  3.96028E-05  0.00000E+00  8.5E-06
  3.800E+00  1.09927E-03  9.96812E-22  3.55968E-05  0.00000E+00  2.1E-05
  3.900E+00  1.15786E-03  8.98523E-22  3.20868E-05  0.00000E+00  3.9E-05
  4.000E+00  1.21797E-03  8.11947E-22  2.89952E-05  0.00000E+00  4.4E-05
  4.100E+00  1.27961E-03  7.35669E-22  2.62712E-05  0.00000E+00  3.9E-05
  4.200E+00  1.34276E-03  6.68048E-22  2.38564E-05  0.00000E+00  2.4E-05
  4.300E+00  1.40743E-03  6.08074E-22  2.17147E-05  0.00000E+00  5.3E-06
  4.400E+00  1.47362E-03  5.54671E-22  1.98077E-05  0.00000E+00  1.5E-05
  4.500E+00  1.54133E-03  5.06980E-22  1.81046E-05  0.00000E+00  2.8E-05
  4.600E+00  1.61056E-03  4.64350E-22  1.65822E-05  0.00000E+00  3.1E-05
  4.700E+00  1.68131E-03  4.26060E-22  1.52149E-05  0.00000E+00  2.8E-05
  4.800E+00  1.75357E-03  3.91675E-22  1.39870E-05  0.00000E+00  1.7E-05
  4.900E+00  1.82735E-03  3.60668E-22  1.28797E-05  0.00000E+00  3.4E-06
  5.000E+00  1.90265E-03  3.32674E-22  1.18800E-05  0.00000E+00  1.2E-05
  5.100E+00  1.97947E-03  3.07354E-22  1.09758E-05  0.00000E+00  2.1E-05
  5.200E+00  2.05780E-03  2.84378E-22  1.01553E-05  0.00000E+00  2.3E-05
  5.300E+00  2.13765E-03  2.63532E-22  9.41089E-06  0.00000E+00  2.0E-05
  5.400E+00  2.21902E-03  2.44543E-22  8.73278E-06  0.00000E+00  1.3E-05
  5.500E+00  2.30190E-03  2.27244E-22  8.11503E-06  0.00000E+00  2.2E-06
  5.600E+00  2.38630E-03  2.11446E-22  7.55088E-06  0.00000E+00  9.3E-06
  5.700E+00  2.47222E-03  1.96992E-22  7.03472E-06  0.00000E+00  1.6E-05
  5.800E+00  2.55965E-03  1.83762E-22  6.56227E-06  0.00000E+00  1.8E-05
  5.900E+00  2.64859E-03  1.71614E-22  6.12843E-06  0.00000E+00  1.5E-05
  6.000E+00  2.73905E-03  1.60461E-22  5.73018E-06  0.00000E+00  9.4E-06
  6.100E+00  2.83103E-03  1.50195E-22  5.36357E-06  0.00000E+00  1.4E-06
  6.200E+00  2.92452E-03  1.40738E-22  5.02585E-06  0.00000E+00  7.6E-06
  6.300E+00  3.01952E-03  1.32016E-22  4.71439E-06  0.00000E+00  1.3E-05
  6.400E+00  3.11604E-03  1.23955E-22  4.42650E-06  0.00000E+00  1.4E-05
  6.500E+00  3.21407E-03  1.16505E-22  4.16046E-06  0.00000E+00  1.2E-05
  6.600E+00  3.31362E-03  1.09602E-22  3.91394E-06  0.00000E+00  7.3E-06
  6.700E+00  3.41468E-03  1.03205E-22  3.68551E-06  0.00000E+00  9.2E-07
  6.800E+00  3.51725E-03  9.72675E-23  3.47348E-06  0.00000E+00  6.3E-06
  6.900E+00  3.62133E-03  9.17493E-23  3.27643E-06  0.00000E+00  1.0E-05
  7.000E+00  3.72692E-03  8.66199E-23  3.09325E-06  0.00000E+00  1.1E-05
  7.100E+00  3.83403E-03  8.18407E-23  2.92259E-06  0.00000E+00  9.6E-06
